"threshold","precision","recall","f1"
0.27,0.563279894655435,0.816042877906977,0.666501786884638
0.275,0.56768845925549,0.810895106589147,0.667838794952367
0.28,0.572286304553671,0.805262839147287,0.66907361747094
0.285,0.57702977217623,0.799933381782946,0.670439692912886
0.29,0.581102920015054,0.79484617248062,0.671372849926466
0.295,0.586263526129896,0.789123062015504,0.672733139722491
0.3,0.590687057749372,0.783611918604651,0.673608038108129
0.305,0.595022938968441,0.777616279069767,0.674175001968969
0.31,0.599600188146754,0.772014292635659,0.674970877898973
0.315,0.60420992339085,0.766624273255814,0.675795795795796
0.32,0.608967674661105,0.760416666666667,0.676317313259988
0.325,0.613308069001157,0.75469355620155,0.676694587366449
0.33,0.617769782375134,0.748697916666667,0.676961408408285
0.335,0.622315746773826,0.74327761627907,0.677439386203375
0.34,0.627043167134289,0.737645348837209,0.677862340517301
0.345,0.631033941739449,0.730741279069767,0.677237392304886
0.35,0.635101043630666,0.724200581395349,0.676730663120216
0.355,0.639694367946433,0.717447916666667,0.676343809768491
0.36,0.643749657477942,0.711391715116279,0.675882505250439
0.365,0.648099150536137,0.704639050387597,0.675187511787491
0.37,0.652112477038293,0.698734253875969,0.674618836702773
0.375,0.655778606251792,0.692435804263566,0.673608860871358
0.38,0.660081009412245,0.685925387596899,0.67275508234211
0.385,0.663855350378788,0.679293846899225,0.67148587164751
0.39,0.667658193618172,0.672874273255814,0.670256085422134
0.395,0.671824452176036,0.666575823643411,0.669189846481228
0.4,0.67553983618764,0.659338662790698,0.667340934166973
0.405,0.679658453588758,0.653191618217054,0.666162255643742
0.41,0.68453047512398,0.647862160852713,0.665691750027225
0.415,0.688942338945589,0.641836240310077,0.66455557297382
0.42,0.692993756813002,0.635265261627907,0.662875017773354
0.425,0.696758171689375,0.628694282945736,0.660978638056732
0.43,0.701300918496261,0.621941618217054,0.659241546436424
0.435,0.705034722222222,0.614855862403101,0.656864648033126
0.44,0.709545181468,0.607982073643411,0.654849072911401
0.445,0.713715477560414,0.600987160852713,0.652518411362441
0.45,0.717926218419802,0.594597868217054,0.650467908902691
0.455,0.721544413033775,0.587390988372093,0.647592975896375
0.46,0.725352112676056,0.580123546511628,0.644659802140117
0.465,0.729278152069297,0.573613129844961,0.642146477058933
0.47,0.733779971791255,0.567132994186046,0.639782742365239
0.475,0.737443740789421,0.560652858527132,0.637009512996508
0.48,0.741373711130957,0.553022044573643,0.633494051129072
0.485,0.745480808914569,0.546965843023256,0.630977748279596
0.49,0.748845411033672,0.540092054263566,0.62756412511875
0.495,0.752382580452156,0.533097141472868,0.624036297254666
0.5,0.755911684013413,0.52561773255814,0.620072516834265
0.505,0.759363503390807,0.518774224806202,0.616425294593865
0.51,0.762675929267412,0.511960998062015,0.612661255254385
0.515,0.766137566137566,0.504239341085271,0.608192260632955
0.52,0.769493908153702,0.497244428294574,0.604113015966448
0.525,0.773757815856045,0.490885416666667,0.600685502547476
0.53,0.778156332132775,0.484132751937984,0.596901250700019
0.535,0.781457610312345,0.477289244186047,0.59262322818363
0.54,0.785616819123667,0.470718265503876,0.58870311109428
0.545,0.788450631606084,0.463057170542636,0.58345256490967
0.55,0.792792792792793,0.455668604651163,0.578713585232189
0.555,0.796819598151929,0.449127906976744,0.574460668499942
0.56,0.800723842948015,0.442163275193798,0.569722980881779
0.565,0.803880997651269,0.435289486434109,0.564766432247672
0.57,0.807012542759407,0.428627664728682,0.559884502808322
0.575,0.80975354568705,0.421844718992248,0.554710520028669
0.58,0.813942422079467,0.414365310077519,0.54916124889638
0.585,0.81772890212042,0.407552083333333,0.543984802861589
0.59,0.82003848780185,0.400012112403101,0.537724136527385
0.595,0.822003804692454,0.392532703488372,0.531335819977866
0.6,0.82655051358731,0.38499273255814,0.525306780151221
0.605,0.829966777408638,0.378240067829457,0.519657195157466
0.61,0.833616183558482,0.371850775193798,0.514291697204481
0.615,0.83828841344818,0.365431201550388,0.508983551244201
0.62,0.842834802388399,0.359041908914729,0.503567484923129
0.625,0.845308291475577,0.351623062015504,0.4966531939009
0.63,0.848733233979136,0.344900678294574,0.490483162518302
0.635,0.852047051634586,0.337784641472868,0.483780032960361
0.64,0.855007824726135,0.330880571705426,0.477119902191948
0.645,0.858368066688041,0.324279312015504,0.470725274725275
0.65,0.861715223635618,0.317950581395349,0.464509279125838
0.655,0.864664816216671,0.311288759689922,0.457773918464587
0.66,0.868382416443562,0.304475532945736,0.450866533641235
0.665,0.870744680851064,0.297420058139535,0.443391115926327
0.67,0.872821822826384,0.289698401162791,0.435011935887234
0.675,0.876663542642924,0.283248546511628,0.42815947269648
0.68,0.8794668727062,0.275738856589147,0.419844160634423
0.685,0.882335448057098,0.26953125,0.412924475784004
0.69,0.88388746803069,0.261627906976744,0.40374775111568
0.695,0.886075949367089,0.254360465116279,0.395256916996047
0.7,0.888283972125436,0.24703246124031,0.386561789234268
0.705,0.891299460431655,0.240098110465116,0.378291984732824
0.71,0.893229770461396,0.233315164728682,0.369987995198079
0.715,0.895121658875704,0.226138565891473,0.361060748906133
0.72,0.898746742772056,0.219325339147287,0.352603266557944
